VEHICLE_ID    TYPE       CAPACITY_FRESH  CAPACITY_FROZEN      MAX_FRIGOBOXES  
1             Fresh               250              0                1  
2             Fresh               200              0                2  
3             Fresh               200              0                2  
4             Frozen                0            200                2  
5             Frozen                0            150                1  
6             Frozen                0            150                1  
I1            Mixed                75             75                0  
I2            Mixed               112             38                0  
I3            Mixed                38            112                0  
I4            Mixed                98             52                0  
I5            Mixed                52             98                0  
J1            Mixed               100            100                0  
J2            Mixed               150             50                0  
J3            Mixed                50            150                0  
K1            Mixed               125            125                0  
K2            Mixed               188             62                0  
K3            Mixed                62            188                0  
K4            Mixed               162             88                0  

FRIGOBOX DATA  
TOTAL_AVAILABLE_FRIGOBOXES: 15  
CAPACITY_PER_FRIGOBOX: 40  
WEIGHT_PER_FRIGOBOX: 40

CUST NO.	XCOORD.	YCOORD.	READY TIME	DUE DATE	SERVICE TIME	FROZEN	FRESH

0	70	70	0	1351	0	0	0
95	29	28	864	925	90	14	15
97	92	107	433	563	90	16	13
98	10	134	522	785	90	15	11
100	94	72	671	678	90	17	14
103	127	28	86	236	90	11	18
106	24	24	497	732	90	16	16
110	107	63	734	814	90	10	16
111	33	131	987	1028	90	19	12
112	123	112	293	571	90	10	19
113	67	55	15	203	90	10	16
114	39	128	65	367	90	11	14
115	136	0	429	488	90	17	16
195	119	130	715	742	90	13	17
196	91	108	237	577	90	16	18
197	130	27	198	311	90	11	17
198	101	107	1038	1090	90	16	19
199	34	108	534	539	90	12	18
