VEHICLE_ID    TYPE       CAPACITY_FRESH  CAPACITY_FROZEN      MAX_FRIGOBOXES  
1             Fresh               200              0                2  
2             Fresh               150              0                1  
3             Fresh               150              0                1  
4             Frozen                0            200                2  
5             Frozen                0            200                2  
6             Frozen                0            150                1  
I1            Mixed                75             75                0  
I2            Mixed               112             38                0  
I3            Mixed                38            112                0  
I4            Mixed                98             52                0  
I5            Mixed                52             98                0  
J1            Mixed               100            100                0  
J2            Mixed               150             50                0  
J3            Mixed                50            150                0  
K1            Mixed               125            125                0  
K2            Mixed               188             62                0  
K3            Mixed                62            188                0  
K4            Mixed               162             88                0  

FRIGOBOX DATA  
TOTAL_AVAILABLE_FRIGOBOXES: 15  
CAPACITY_PER_FRIGOBOX: 40  
WEIGHT_PER_FRIGOBOX: 40

CUST NO.	XCOORD.	YCOORD.	READY TIME	DUE DATE	SERVICE TIME	FROZEN	FRESH

0	70	70	0	634	0	0	0
115	137	137	110	120	10	18	5
116	110	28	315	325	10	18	15
118	59	115	324	334	10	12	13
119	71	70	490	500	10	8	15
120	120	60	64	74	10	10	15
122	121	123	267	277	10	17	6
123	137	84	114	124	10	9	8
124	103	86	268	278	10	16	3
125	30	57	240	250	10	19	8
126	139	72	347	357	10	15	2
127	2	106	397	407	10	9	12
128	64	138	450	460	10	9	10
129	23	39	362	372	10	15	2
130	126	23	273	283	10	18	17
195	105	2	234	244	10	19	17
196	66	91	21	31	10	10	13
197	93	61	531	541	10	13	5
198	27	104	512	522	10	12	12
199	69	6	93	103	10	19	2
200	95	135	411	421	10	12	7
