VEHICLE_ID    TYPE       CAPACITY_FRESH  CAPACITY_FROZEN      MAX_FRIGOBOXES  
1             Fresh               150              0                1  
2             Fresh               200              0                1  
3             Fresh               200              0                1  
4             Frozen                0            150                1  
5             Frozen                0            200                2  
6             Frozen                0            150                1  
N1            Mixed               125            125                0  
N2            Mixed               188             62                0  
N3            Mixed                62            188                0  
N4            Mixed               162             88                0  
N5            Mixed                88            162                0  
O1            Mixed                75             75                0  
O2            Mixed               112             38                0  
O3            Mixed                38            112                0  
O4            Mixed                98             52                0  
O5            Mixed                52             98                0  
P1            Mixed               100            100                0  
P2            Mixed               150             50                0  
P3            Mixed                50            150                0  
P4            Mixed               130             70                0  

FRIGOBOX DATA  
TOTAL_AVAILABLE_FRIGOBOXES: 15  
CAPACITY_PER_FRIGOBOX: 40  
WEIGHT_PER_FRIGOBOX: 40

CUST NO.	XCOORD.	YCOORD.	READY TIME	DUE DATE	SERVICE TIME	FROZEN	FRESH

0	70	70	0	634	0	0	0
168	137	96	71	101	10	6	5
169	110	99	303	333	10	17	7
172	120	52	374	404	10	17	16
184	42	29	60	90	10	13	1
185	117	92	283	313	10	12	15
186	15	18	400	430	10	10	3
187	139	110	191	221	10	18	6
188	44	36	48	78	10	10	2
189	8	138	291	321	10	2	6
190	33	0	482	512	10	17	8
191	4	44	416	446	10	13	6
192	97	115	368	398	10	9	4
193	23	19	172	202	10	19	10
194	56	129	287	317	10	5	3
195	105	2	224	254	10	15	4
196	66	91	21	51	10	4	10
197	93	61	521	551	10	19	19
198	27	104	502	532	10	15	18
199	69	6	83	113	10	17	4
200	95	135	401	431	10	18	9
