VEHICLE_ID    TYPE       CAPACITY_FRESH  CAPACITY_FROZEN      MAX_FRIGOBOXES  
1             Fresh               150              0                1  
2             Fresh               200              0                1  
3             Fresh               250              0                2  
4             Frozen                0            200                2  
5             Frozen                0            250                1  
6             Frozen                0            250                1  
L1            Mixed                75             75                0  
L2            Mixed               112             38                0  
L3            Mixed                38            112                0  
M1            Mixed               100            100                0  
M2            Mixed               150             50                0  
M3            Mixed                50            150                0  
N1            Mixed               125            125                0  
N2            Mixed               188             62                0  
N3            Mixed                62            188                0  
N4            Mixed               162             88                0  
N5            Mixed                88            162                0  

FRIGOBOX DATA  
TOTAL_AVAILABLE_FRIGOBOXES: 15 
CAPACITY_PER_FRIGOBOX: 40  
WEIGHT_PER_FRIGOBOX: 40

CUST NO.	XCOORD.	YCOORD.	READY TIME	DUE DATE	SERVICE TIME	FROZEN	FRESH

0	70	70	0	634	0	0	0
167	39	13	0	560	10	2	16
181	100	99	299	329	10	14	17
182	89	24	301	331	10	12	16
184	42	29	60	90	10	15	8
185	117	92	0	573	10	17	14
186	15	18	0	549	10	9	7
187	139	110	0	545	10	12	15
188	44	36	0	582	10	1	19
190	33	0	482	512	10	16	2
191	4	44	0	554	10	15	12
192	97	115	0	572	10	5	2
194	56	129	0	564	10	19	11
195	105	2	0	548	10	15	3
196	66	91	21	51	10	2	16
197	93	61	521	551	10	6	11
198	27	104	0	570	10	11	16
199	69	6	83	113	10	9	11
