VEHICLE_ID    TYPE       CAPACITY_FRESH  CAPACITY_FROZEN      MAX_FRIGOBOXES  
1             Fresh               150              0                1  
2             Fresh               200              0                2  
3             Fresh               150              0                1  
4             Frozen                0            200                2  
5             Frozen                0            150                1  
6             Frozen                0            150                1  
F1            Mixed                75             75                0  
F2            Mixed               112             38                0  
F3            Mixed                38            112                0  
F4            Mixed                98             52                0  
F5            Mixed                52             98                0  
G1            Mixed               100            100                0  
G2            Mixed               150             50                0  
G3            Mixed                50            150                0  
G4            Mixed               130             70                0  
H1            Mixed               125            125                0  
H2            Mixed               188             62                0  
H3            Mixed                62            188                0  
H4            Mixed               162             88                0  
H5            Mixed                88            162                0  

FRIGOBOX DATA  
TOTAL_AVAILABLE_FRIGOBOXES: 15  
CAPACITY_PER_FRIGOBOX: 40  
WEIGHT_PER_FRIGOBOX: 40

CUST NO.	XCOORD.	YCOORD.	READY TIME	DUE DATE	SERVICE TIME	FROZEN	FRESH

0	70	70	0	634	0	0	0
1	10	86	396	456	10	12	3
162	48	47	31	91	10	9	15
163	62	58	14	74	10	6	8
165	118	114	65	125	10	4	10
166	91	95	156	216	10	17	12
186	22	38	146	206	10	16	2
187	61	59	121	181	10	5	11
188	94	105	102	162	10	9	20
189	118	131	149	209	10	20	6
190	108	30	81	141	10	10	2
191	36	105	144	204	10	15	10
192	133	130	207	267	10	15	18
193	15	18	385	445	10	6	5
194	103	86	243	303	10	12	2
195	107	77	37	97	10	6	18
196	99	34	61	121	10	6	20
197	17	43	59	119	10	13	7
198	140	36	161	221	10	18	5
199	26	105	56	116	10	18	5
200	60	23	48	108	10	12	7
