VEHICLE_ID    TYPE       CAPACITY_FRESH  CAPACITY_FROZEN      MAX_FRIGOBOXES  
1             Fresh               150              0                1  
2             Fresh               250              0                1  
3             Fresh               200              0                2  
4             Frozen                0            200                2  
5             Frozen                0            250                2  
6             Frozen                0            200                2  
L1            Mixed                75             75                0  
L2            Mixed               112             38                0  
L3            Mixed                38            112                0  
M1            Mixed               100            100                0  
M2            Mixed               150             50                0  
M3            Mixed                50            150                0  
N1            Mixed               125            125                0  
N2            Mixed               188             62                0  
N3            Mixed                62            188                0  
N4            Mixed               162             88                0  
N5            Mixed                88            162                0  

FRIGOBOX DATA  
TOTAL_AVAILABLE_FRIGOBOXES: 15  
CAPACITY_PER_FRIGOBOX: 40  
WEIGHT_PER_FRIGOBOX: 40

CUST NO.	XCOORD.	YCOORD.	READY TIME	DUE DATE	SERVICE TIME	FROZEN	FRESH

0	70	70	0	634	0	0	0
174	47	83	272	393	10	19	12
177	109	131	72	151	10	17	11
179	97	28	49	255	10	16	12
181	1	34	77	171	10	19	10
183	98	31	48	173	10	16	12
185	13	48	396	475	10	17	12
187	61	59	92	210	10	16	10
188	94	105	50	215	10	18	11
189	118	131	137	221	10	15	10
190	108	30	55	215	10	20	9
191	36	105	91	258	10	16	11
192	133	130	178	297	10	18	10
193	15	18	377	454	10	17	11
194	103	86	232	314	10	16	13
195	107	77	37	176	10	18	10
196	99	34	46	185	10	17	11
197	17	43	59	151	10	16	12
