VEHICLE_ID    TYPE       CAPACITY_FRESH  CAPACITY_FROZEN      MAX_FRIGOBOXES  
1             Fresh               150              0                1  
2             Fresh               200              0                2  
3             Fresh               200              0                2  
4             Frozen                0            150                1  
5             Frozen                0            200                2  
6             Frozen                0            150                1  
I1            Mixed                75             75                0  
I2            Mixed               112             38                0  
I3            Mixed                38            112                0  
I4            Mixed                98             52                0  
I5            Mixed                52             98                0  
J1            Mixed               100            100                0  
J2            Mixed               150             50                0  
J3            Mixed                50            150                0  
K1            Mixed               125            125                0  
K2            Mixed               188             62                0  
K3            Mixed                62            188                0  
K4            Mixed               162             88                0  

FRIGOBOX DATA  
TOTAL_AVAILABLE_FRIGOBOXES: 15  
CAPACITY_PER_FRIGOBOX: 40  
WEIGHT_PER_FRIGOBOX: 40

CUST NO.	XCOORD.	YCOORD.	READY TIME	DUE DATE	SERVICE TIME	FROZEN	FRESH

0	70	70	0	634	0	0	0
181	1	34	77	241	10	12	15
182	103	69	33	92	10	2	4
183	98	31	73	148	10	3	19
184	103	34	85	168	10	13	3
185	13	48	376	494	10	8	2
186	22	38	112	240	10	13	3
187	61	59	106	195	10	13	15
188	94	105	93	171	10	17	16
189	118	131	121	238	10	17	11
190	108	30	67	154	10	2	5
191	36	105	113	236	10	10	3
192	133	130	208	267	10	6	12
193	15	18	361	469	10	1	13
194	103	86	231	315	10	20	4
195	107	77	37	110	10	2	7
196	99	34	46	142	10	18	6
197	17	43	59	133	10	14	7
